person;executed_score;first_act_x;first_act_y;first_act_type
zone_10190;124.10718380380055;632325.8880450346;4803156.053092441;home
zone_10191;132.576140095555;631358.9227347162;4802412.663246933;home
zone_10192;133.3120950011361;631388.3895035211;4801663.170862955;home
zone_10193;126.49218656072328;632853.0269782463;4803257.214790825;home
zone_10194;129.02218270003465;632984.9491104806;4803206.114338469;home
zone_10195;127.66912451062107;631750.3439433665;4802192.636111722;home
zone_10196;90.5343211884783;632622.9876690283;4804457.694485508;home
zone_10197;134.62394094753998;630058.9064276607;4804826.804914959;home
zone_10198;111.14510936642407;636388.6401010551;4801896.6194677055;home
zone_10199;130.77107625544096;632478.381764169;4804418.703684534;home
zone_102;120.01892600468605;630784.690107689;4803830.118691895;home
zone_1020;130.55003345683085;630665.729974846;4803536.363807045;home
zone_10200;125.68271989144745;633125.3790324056;4803012.88555312;home
zone_10201;120.38996395344995;632012.5777954571;4802914.076306124;home
zone_10202;129.17541520648712;629373.6574186066;4800916.211771947;home
zone_10203;125.60433545744621;633058.6601756;4803450.866186915;home
zone_10204;135.9106674608155;634093.5112191937;4803841.508576236;home
zone_10205;121.30973659251602;630442.2579337053;4803276.817510961;home
zone_10206;140.59663245840642;630035.6557128476;4802263.450599438;home
zone_10207;120.0547616825053;631462.3407574019;4802012.08444874;home
zone_10208;127.16001494107685;629888.1588777202;4801234.339344983;home
zone_10209;111.24475796257907;630744.5100327333;4801479.252159022;home
zone_1021;113.69223828541034;633863.5952154066;4804246.960299166;home
zone_10210;114.09351704450212;630762.1526181771;4803716.260457707;home
zone_10211;130.59684837448106;636388.6401010551;4801896.6194677055;home
zone_10212;118.55740347208524;631920.2464073013;4803643.569691982;home
zone_10213;119.26772481250703;636388.6401010551;4801896.6194677055;home
zone_10214;137.32897938654438;631599.0266027167;4803311.637751355;home
zone_10215;134.4244511214896;631537.059655874;4801621.938160827;home
zone_10216;130.4217654344872;630218.1879427515;4801334.9267173875;home
zone_10217;117.91254852966092;632812.0200365256;4803533.284026022;home
zone_10218;124.48212582093485;631852.7097734485;4803451.175253252;home
zone_10219;136.3708910087562;633853.1272488823;4803908.969709034;home
zone_1022;119.00121664252208;635255.1885227569;4803514.996074655;home
zone_10220;127.12512874743284;632862.094893001;4803431.049683092;home
zone_10221;137.77896102513407;631423.0319878319;4804629.119078821;home
zone_10222;135.23503076081656;632447.2348436593;4804174.392432324;home
zone_10223;135.59102522138693;632847.5079936191;4804071.373999785;home
zone_10224;135.488232831908;633321.2249584014;4803370.498517144;home
zone_10225;121.12749930666838;632156.449878781;4804251.929128969;home
zone_10226;112.58399141119337;636388.6401010551;4801896.6194677055;home
zone_10227;124.33751435921472;633649.1550210211;4804253.2413223665;home
zone_10228;126.34824527101466;630994.4841066846;4802105.364194052;home
zone_10229;127.89523858144226;634768.3278621543;4804846.337355503;home
zone_1023;132.48445990695637;634549.5731778375;4803645.0555167105;home
zone_10230;134.4605804526727;633439.1847016505;4801442.352114688;home
zone_10231;106.12015140324559;630058.9064276607;4804826.804914959;home
zone_10232;118.42078943364783;634549.5731778375;4803645.0555167105;home
zone_10233;112.3713359811792;631167.9322450204;4801621.127811175;home
zone_10234;136.99559560724305;630308.5053539446;4801001.780595748;home
zone_10235;130.36073658213732;632446.019043822;4803748.790710703;home
zone_10236;131.50850211810618;630058.9064276607;4804826.804914959;home
zone_10237;124.26290457181469;632246.1130241295;4805045.8673726935;home
zone_10238;130.32465384896616;630058.9064276607;4804826.804914959;home
zone_10239;126.35241229024184;630460.8484547173;4802710.807606822;home
zone_1024;120.8799141290441;630801.1117037128;4802787.604224781;home
zone_10240;140.4992359896917;630578.6972845715;4801344.856576143;home
zone_10241;137.29480264743125;632622.9876690283;4804457.694485508;home
zone_10242;131.84447573975882;630780.1454488664;4803522.3006317075;home
zone_10243;99.19124975336969;629340.7867590222;4806513.8220451195;home
zone_10244;88.22579958976367;629340.7867590222;4806513.8220451195;home
zone_10245;104.95589174564314;630261.409059017;4803422.039820019;home
zone_10246;127.96456991454733;630768.0374722466;4801816.966242529;home
zone_10247;135.57591251295256;631644.5532866395;4801378.954876202;home
zone_10248;140.59309665241312;630554.5297181233;4802520.05367592;home
zone_10249;125.42361304300528;632305.0121772453;4801535.331581049;home
zone_1025;128.42823232150926;634549.5731778375;4803645.0555167105;home
zone_10250;128.263803912919;633834.9184146695;4804555.2393007325;home
zone_10251;130.99737011372264;630597.0998540965;4802930.327212873;home
zone_10252;120.72627125890644;632847.5079936191;4804071.373999785;home
zone_10253;137.1330391035456;632320.9167567801;4801890.492686475;home
zone_10254;133.04158088209812;630869.8033338885;4801478.070572041;home
zone_10255;137.64864479293945;636388.6401010551;4801896.6194677055;home
zone_10256;122.57628002331346;630161.2946635531;4800801.045529295;home
zone_10257;106.94274077684693;632517.976173284;4805082.08241133;home
zone_10258;133.93804588619946;631122.2449108451;4803597.379139535;home
zone_10259;123.82180080040123;631511.5995355236;4803766.597003171;home
zone_1026;122.11906548653045;630058.9064276607;4804826.804914959;home
zone_10260;140.2768339025619;631463.2442037221;4801893.863979476;home
zone_10261;123.78178825964017;630063.1148323196;4800800.317736989;home
zone_10262;139.54165181507182;631917.5798060347;4803414.822923869;home
zone_10263;130.09666117824915;635193.2496676613;4804772.801585179;home
zone_10264;122.82064210432691;630364.3782924903;4802553.0801276;home
zone_10265;125.7148178779941;630663.2745583015;4804751.341089865;home
zone_10266;124.92792265755133;634549.5731778375;4803645.0555167105;home
zone_10267;137.80737766917207;631367.5585153041;4802677.024677447;home
zone_10268;133.91271099025872;631936.5578959027;4804158.561608998;home
zone_10269;125.4803533613231;629340.7867590222;4806513.8220451195;home
zone_1027;134.29388523820938;631490.269830117;4804230.602979276;home
zone_10270;122.93357816521434;632040.2194224335;4804799.049864544;home
zone_10271;132.41323930685022;634068.467894158;4804245.628784437;home
zone_10272;130.69032126883113;630494.1706973496;4800875.015336484;home
zone_10273;112.59060624815848;631559.957715288;4801405.683327483;home
zone_10274;122.90559255317397;634620.7908838195;4805036.374633476;home
zone_10275;126.84731326244358;633289.0446106805;4803089.549485229;home
zone_10276;98.00024327826306;632715.4666933917;4803342.948301733;home
zone_10277;130.6593102747497;632945.7852111394;4805400.043875223;home
zone_10278;133.5089174184345;630729.0176450575;4803068.58564773;home
zone_10279;139.53915840850547;632193.1077832697;4802972.643709114;home
zone_1028;120.53371837944763;634557.6905523357;4801268.934089326;home
zone_10280;123.73930260634695;631423.0319878319;4804629.119078821;home
zone_10281;139.5970199798589;631169.792926875;4802226.801408452;home
zone_10282;97.40141702890377;633207.0399282414;4804060.058651404;home
zone_10283;133.864481290772;634345.4245321029;4804266.418250648;home
zone_10284;133.4683593308846;630944.8720643831;4803302.024541216;home
zone_10285;121.5957190186219;635022.6403771923;4804164.251004033;home
zone_10286;131.06629381835344;630759.5720225901;4801794.038108142;home
zone_10287;129.8176272769945;631024.6438967054;4801108.558524924;home
