link;from_node;to_node;length;freespeed;capacity;lanes;modes;vol_car;storageCapacityUsedInQsim;type;origid;geometry
2743;4797630252;10225248524;107.90506387927122;5.555555555555555;420.0;1.0;car;903;;residential;1118011870;LINESTRING( 632385.8019214941 4803585.886632318, 632418.8508107886 4803685.225115324 )
2744;3321563184;5244141519;376.7569615271162;5.555555555555555;420.0;1.0;car;174;;residential;325508120;LINESTRING( 630818.1740324816 4801652.630552012, 630670.846032985 4801305.873766031 )
2745;5244141519;3321563184;376.7569615271162;5.555555555555555;420.0;1.0;car;81;;residential;325508120;LINESTRING( 630670.846032985 4801305.873766031, 630818.1740324816 4801652.630552012 )
2746;5244141519;3321563165;167.48724854765936;5.555555555555555;420.0;1.0;car;97;;residential;325508120;LINESTRING( 630670.846032985 4801305.873766031, 630603.0436225604 4801152.757923959 )
2747;3321563165;5244141519;167.48724854765936;5.555555555555555;420.0;1.0;car;65;;residential;325508120;LINESTRING( 630603.0436225604 4801152.757923959, 630670.846032985 4801305.873766031 )
2748;4797622982;4797643906;432.3763222978788;5.555555555555555;420.0;1.0;car;527;;residential;487256692;LINESTRING( 632453.6641972649 4803807.3629871, 632883.0921743679 4803756.9556809785 )
2749;4797643906;4797622982;432.3763222978788;5.555555555555555;420.0;1.0;car;330;;residential;487256692;LINESTRING( 632883.0921743679 4803756.9556809785, 632453.6641972649 4803807.3629871 )
275;1411867086;5244146899;39.90023923473274;8.333333333333334;750.0;1.0;car;2161;;secondary;487259494;LINESTRING( 631449.0731914641 4803388.572368195, 631463.693259921 4803425.697598017 )
2750;4797643906;4797622983;125.65631149515012;5.555555555555555;420.0;1.0;car;987;;residential;487256692;LINESTRING( 632883.0921743679 4803756.9556809785, 633007.6864773941 4803740.653280174 )
2751;4797622983;4797643906;125.65631149515012;5.555555555555555;420.0;1.0;car;344;;residential;487256692;LINESTRING( 633007.6864773941 4803740.653280174, 632883.0921743679 4803756.9556809785 )
2752;2397236869;2397236937;364.95610448835095;5.555555555555555;420.0;1.0;car;1796;;tertiary;1086741432;LINESTRING( 632009.3477990425 4804352.193306937, 631748.1599903767 4804533.732339932 )
