dist,car,pt,walk
6000.0,0.4929079060773245,0.29822750374245544,0.20886459018022008
6100.0,0.492235201400385,0.3039319894595236,0.2038328091400913
6200.0,0.48972633017294026,0.313060836257495,0.19721283356956476
6300.0,0.4855157542321854,0.32533362646643266,0.18915061930138197
6400.0,0.4811345757726477,0.3388046536787887,0.18006077054856354
6500.0,0.47869828976317075,0.35081689318396586,0.17048481705286336
6600.0,0.4779467493406204,0.36087883873447457,0.161174411924905
6700.0,0.4780325333058095,0.36929070457287594,0.15267676212131462
6800.0,0.4785116878172565,0.37598280257632477,0.14550550960641875
6900.0,0.47928058873496077,0.3806012351445793,0.14011817612046
7000.0,0.48003934325832365,0.38343159415332895,0.13652906258834746
7100.0,0.4813582135865502,0.38477688617738975,0.13386490023605996
7200.0,0.4827468098591239,0.38509946061530254,0.1321537295255735
7300.0,0.4842931798208814,0.38417007868370723,0.1315367414954113
7400.0,0.4874832508286394,0.38061778864355994,0.1318989605278007
7500.0,0.49396380928796313,0.3743385856956246,0.13169760501641217
7600.0,0.5043817483139637,0.36541782871925066,0.13020042296678572
7700.0,0.5184538175093691,0.3545575264246113,0.12698865606601958
7800.0,0.5364327288968459,0.3427288114055188,0.1208384596976353
7900.0,0.5579840186654393,0.3299138916131843,0.11210208972137635
8000.0,0.5809754487660175,0.3165933334844779,0.10243121774950459
8100.0,0.6033377313641303,0.3035842225957149,0.09307804604015488
8200.0,0.622553382660174,0.29358600401246615,0.08386061332735983
8300.0,0.6380003971020254,0.2876198913362305,0.07437971156174406
8400.0,0.6495586953598971,0.28391922573884154,0.06652207890126131
8500.0,0.6578040793133055,0.2816558748086155,0.060540045878078895
8600.0,0.6648836557879069,0.2799420477626827,0.05517429644941038
8700.0,0.6714041417718533,0.27849452497270755,0.05010133325543919
8800.0,0.6770966088978901,0.27709038596903196,0.04581300513307795
8900.0,0.6831652876018629,0.27389682226177503,0.04293789013636214
9000.0,0.6917329941782213,0.26823707093885313,0.04002993488292554
9100.0,0.703398854859475,0.259750828272022,0.03685031686850291
9200.0,0.7186777635327468,0.2476549642406599,0.03366727222659329
9300.0,0.7375435463851094,0.23184452215108367,0.03061193146380688
9400.0,0.7577519962935821,0.21443953942079805,0.02780846428561984
9500.0,0.7776653075933943,0.19689992996440198,0.025434762442203804
9600.0,0.7960298110157615,0.1799772338767062,0.023992955107532306
9700.0,0.8129448086540064,0.1635237249476072,0.023531466398386377
9800.0,0.8280734526869404,0.14862542215968444,0.023301125153375242
9900.0,0.8384189873121989,0.13818686037298197,0.02339415231481919
10000.0,0.8441029858876657,0.13243382712762797,0.023463186984706324
10100.0,0.8482475428544007,0.12886259392773092,0.022889863217868327
10200.0,0.8512723191601034,0.12747653307705067,0.02125114776284599
10300.0,0.8535869025018531,0.12758244234088711,0.01883065515725985
10400.0,0.8568899099586261,0.12681815328320656,0.016291936758167456
10500.0,0.8620531813909996,0.1236273066058645,0.0143195120031358
10600.0,0.8687121274431172,0.1182641197306254,0.013023752826257316
10700.0,0.8771550299973334,0.11146541391578905,0.011379556086877442
10800.0,0.8872167840434545,0.10351628073798047,0.009266935218565106
10900.0,0.897856832665731,0.09465375309247731,0.007489414241791732
11000.0,0.9093466333257899,0.08395889722684449,0.006694469447365482
11100.0,0.9216539127091241,0.07139805306782102,0.006948034223054869
11200.0,0.9344515267336168,0.05831063803790126,0.0072378352284819154
11300.0,0.9485586241212666,0.04452697251294902,0.006914403365784468
11400.0,0.9611477832565656,0.03273643637654882,0.00611578036688562
11500.0,0.9682231981143082,0.02641282054192555,0.005363981343766233
11600.0,0.9712838088814721,0.02384922784189263,0.004866963276635192
11700.0,0.9714568790289263,0.024313313113066594,0.004229807858007111
11800.0,0.9704185162904012,0.026157857290231994,0.0034236264193667734
11900.0,0.9695503507970545,0.027904912902825457,0.0025447363001199594
12000.0,0.9693732056262586,0.028901598288248873,0.0017251960854924421
12100.0,0.9692901797096737,0.029388465299713586,0.0013213549906127937
12200.0,0.9696731790337271,0.029013816916116417,0.0013130040501565035
12300.0,0.9709704466734995,0.02765368924643251,0.0013758640800678624
12400.0,0.9734354735593769,0.025138470351755652,0.0014260560888673917
12500.0,0.9773794571451597,0.021210840591515713,0.0014097022633245222
12600.0,0.9817906930386895,0.01695593671524099,0.0012533702460694799
12700.0,0.9835886165886771,0.015490242146930322,9.211412643924127E-4
12800.0,0.9815757356459132,0.017951144416398824,4.731199376878106E-4
12900.0,0.9754421825315983,0.024457246656340748,1.0057081206103205E-4
13000.0,0.9690673108611282,0.03093268913887177,0.0
13100.0,0.964838288342169,0.03516171165783094,0.0
13200.0,0.9619153584570941,0.03808464154290594,0.0
13300.0,0.9591829902740591,0.04081700972594105,0.0
13400.0,0.9584394265207444,0.041560573479255555,0.0
13500.0,0.961896325340594,0.03810367465940605,0.0
13600.0,0.9707184763247654,0.029281523675234573,0.0
13700.0,0.9831231976667537,0.016876802333246323,0.0
13800.0,0.9938251086788762,0.0061748913211239,0.0
