link_id,lane_km,road_capacity_utilization,avg_speed,congestion_index,speed_performance_index,simulated_traffic_volume,vol_car
2649,0.10748972532744155,0.017757936507936507,19.705394943904302,0.9852652889708124,0.9852652889708124,179.0,179.0
265,0.09243147745146249,0.06622222222222222,28.78486556412377,0.9594619372101221,0.9594619372101221,1192.0,1192.0
2650,0.007593778024289248,0.025694444444444443,17.154217890810404,0.8573552153088873,0.8573552153088873,259.0,259.0
2651,0.007593778024289248,0.01646825396825397,17.3623999102886,0.8615333147808993,0.8677374725672021,166.0,166.0
2652,0.06972319219119764,0.026884920634920633,19.655955147435748,0.9827900768405579,0.9827900768405579,271.0,271.0
2653,0.06972319219119764,0.020535714285714286,19.698437286150256,0.9849138939449159,0.9849138939449159,207.0,207.0
2654,0.02932338325084323,0.026388888888888885,18.85547712829912,0.9427524088419079,0.9427524088419079,266.0,266.0
2655,0.02932338325084323,0.02003968253968254,18.944884804712466,0.9472215553025917,0.9472215553025917,202.0,202.0
2656,0.038423770873022366,0.01765873015873016,19.88210473426084,0.9940825645190694,0.9940825645190694,178.0,178.0
2657,0.038423770873022366,0.01765873015873016,19.861533827303166,0.993052759604854,0.993052759604854,178.0,178.0
2658,0.07678275834077075,0.007341269841269841,19.881188601819126,0.9940161835237235,0.9940161835237235,74.0,74.0
2659,0.07678275834077075,0.007043650793650794,19.92629253177817,0.9962686771112237,0.9962686771112237,71.0,71.0
266,0.08091424319786938,0.07288888888888889,29.510537416412447,0.9836511020684037,0.9836511020684037,1312.0,1312.0
2660,0.18316868380563003,0.00376984126984127,20.000220251752143,1.0,1.0,38.0,38.0
2661,0.18316868380563003,0.00376984126984127,19.99548535112436,0.9997661228299669,0.9997661228299669,38.0,38.0
2662,0.1277723523625475,0.02361111111111111,19.914374048726124,0.995718002194328,0.995718002194328,238.0,238.0
2663,0.1277723523625475,0.007043650793650794,19.988331208822686,0.9994158495894293,0.9994158495894293,71.0,71.0
2664,0.11985863899633185,0.00625,19.89965965884929,0.9949639561948358,0.9949639561948358,63.0,63.0
2665,0.11985863899633185,0.005257936507936508,19.89965965884929,0.9949639561948358,0.9949639561948358,53.0,53.0
2666,0.09371991803902956,0.005456349206349206,19.963768572177905,0.9981620469862637,0.9981620469862637,55.0,55.0
2667,0.09371991803902956,0.0047619047619047615,19.954135885055337,0.9976825809826804,0.9976825809826804,48.0,48.0
2668,0.041522979575587496,0.004265873015873016,19.589419798853793,0.9794584501408496,0.9794584501408496,43.0,43.0
2669,0.041522979575587496,0.0051587301587301595,19.671608797930105,0.9835667601126796,0.9835667601126796,52.0,52.0
267,0.08091424319786938,0.059500000000000004,29.538445083807414,0.9845798358992051,0.9845798358992051,1071.0,1071.0
2670,0.2823316489932023,0.003273809523809524,20.00027423553254,1.0,1.0,33.0,33.0
2671,0.2823316489932023,0.003273809523809524,19.98400767262284,0.9991898141366587,0.9991898141366587,33.0,33.0
2672,0.267325647182,0.023115079365079366,19.82833724402349,0.9914099223121863,0.9914099223121863,233.0,233.0
2673,0.267325647182,0.013293650793650792,19.83596315934625,0.9917909511595171,0.9917909511595171,134.0,134.0
2674,0.18038685962458104,0.029464285714285714,19.791929708062955,0.9895865073314983,0.9895865073314983,297.0,297.0
2675,0.18038685962458104,0.02003968253968254,19.83782350091393,0.991880993339932,0.991880993339932,202.0,202.0
2676,0.18703652786031272,0.0185515873015873,19.883684420115152,0.9941749693459081,0.9941749693459081,187.0,187.0
2677,0.18703652786031272,0.01746031746031746,19.900407040178077,0.9950111003490544,0.9950111003490544,176.0,176.0
2678,0.12868068281079792,0.010119047619047618,19.71674719910683,0.9858239554391499,0.9858239554391499,102.0,102.0
2679,0.12868068281079792,0.00873015873015873,19.745845078228733,0.9872779087274421,0.9872779087274421,88.0,88.0
268,0.07774529764715672,0.0885,28.740128077236097,0.9579828624530209,0.9579828624530209,1593.0,1593.0
2680,0.14396394766207102,0.009623015873015874,19.975297423504294,0.9987525564303766,0.9987525564303766,97.0,97.0
2681,0.14396394766207102,0.007440476190476191,19.976691681744878,0.9988218588509112,0.9988218588509112,75.0,75.0
2682,0.3328716893441574,0.00992063492063492,19.982992470806735,0.9991390925659763,0.9991390925659763,100.0,100.0
2683,0.3328716893441574,0.006547619047619048,19.98680995704717,0.9993302812354419,0.9993302812354419,66.0,66.0
2684,0.10992896978719145,0.012301587301587303,19.894375749821254,0.9947123491221292,0.9947123491221292,124.0,124.0
2685,0.10992896978719145,0.011904761904761906,19.878681546336452,0.99392775190173,0.99392775190173,120.0,120.0
2686,0.13881411304424404,0.037003968253968254,19.918846784412764,0.9959324272906187,0.9959324272906187,373.0,373.0
2687,0.13881411304424404,0.029265873015873013,19.98954599460243,0.999466261444418,0.999466261444418,295.0,295.0
2688,0.1433174864496433,0.03521825396825397,19.904454657347173,0.9952201111634562,0.9952201111634562,355.0,355.0
2689,0.1433174864496433,0.027480158730158726,19.902117339670426,0.9951029473587208,0.9951029473587208,277.0,277.0
269,0.07774529764715672,0.07661111111111112,28.91498060656802,0.9638103070615918,0.9638103070615918,1379.0,1379.0
2690,0.11305600021640143,0.02867063492063492,19.662808476185322,0.9831384982202223,0.9831384982202223,289.0,289.0
2691,0.11305600021640143,0.023214285714285715,19.652758823512777,0.9826359336466358,0.9826359336466358,234.0,234.0
2692,0.10584171143517768,0.014484126984126985,19.57740885960717,0.9788554420454081,0.9788554420454081,146.0,146.0
2693,0.10584171143517768,0.01825396825396825,19.524075285413186,0.9761904301062589,0.9761904301062589,184.0,184.0
2694,0.10476668761546963,0.0037698412698412703,19.975091713452017,0.9987544190419696,0.9987544190419696,38.0,38.0
2695,0.10476668761546963,0.00376984126984127,19.964192588465647,0.9982094773728313,0.9982094773728313,38.0,38.0
2696,0.19236905047449465,0.017757936507936507,19.850148791475558,0.9925002109068242,0.9925002109068242,179.0,179.0
2697,0.19236905047449465,0.01746031746031746,19.891297255899673,0.9945585377113991,0.9945585377113991,176.0,176.0
2698,0.023670552607079717,0.019841269841269844,18.450536121329915,0.922441288011631,0.922441288011631,200.0,200.0
2699,0.023670552607079717,0.026884920634920633,18.49220248919992,0.9245297374884232,0.9245297374884232,271.0,271.0
27,0.05812336145163895,0.006448412698412699,19.69559343942695,0.9847657882253494,0.9847657882253494,65.0,65.0
270,0.04556388220559168,0.076,28.511674935274343,0.9503333408445737,0.9503333408445737,1368.0,1368.0
2700,0.3834742239202385,0.007043650793650794,19.98559539428565,0.9992748216559844,0.9992748216559844,71.0,71.0
2701,0.3834742239202385,0.009325396825396825,19.875326961552336,0.9937634662414652,0.9937634662414652,94.0,94.0
2702,0.13889372977615913,0.010416666666666668,19.698239722185715,0.9848905651831149,0.9848905651831149,105.0,105.0
2703,0.13889372977615913,0.014484126984126985,19.65324405565547,0.9826422341227837,0.9826422341227837,146.0,146.0
2704,0.11817016039346429,0.00376984126984127,19.855416575215152,0.9927477302496662,0.9927477302496662,38.0,38.0
2705,0.11817016039346429,0.009027777777777779,19.737894161245183,0.9868768452136817,0.9868768452136817,91.0,91.0
2706,0.08199652998641334,0.009523809523809523,19.877235602568586,0.9938450883034362,0.9938450883034362,96.0,96.0
2707,0.08199652998641334,0.010515873015873015,19.84864419664609,0.9924171077049299,0.9924171077049299,106.0,106.0
2708,0.0979889475247922,0.0022817460317460314,19.958113794648057,0.9979051536716586,0.9979051536716586,23.0,23.0
2709,0.0979889475247922,0.004166666666666667,19.88269708285256,0.994134430280644,0.994134430280644,42.0,42.0
271,0.04556388220559168,0.07655555555555556,28.609549828280848,0.9535932998388252,0.9535932998388252,1378.0,1378.0
2710,0.08255410830407485,0.025595238095238098,19.85474747716843,0.9927124901268963,0.9927124901268963,258.0,258.0
2711,0.08255410830407485,0.030357142857142857,19.843087895390724,0.9921305478601578,0.9921305478601578,306.0,306.0
2712,0.19217403370202701,0.012896825396825398,19.902806656379827,0.9951348341233912,0.9951348341233912,130.0,130.0
2713,0.19217403370202701,0.015575396825396826,19.8837223106853,0.9941809114116436,0.9941809114116436,157.0,157.0
2714,0.1579282622975035,0.009722222222222222,19.847754857903443,0.9923858573639991,0.9923858573639991,98.0,98.0
2715,0.1579282622975035,0.017857142857142856,19.817533350495832,0.9908749098262405,0.9908749098262405,180.0,180.0
2716,0.15352529966199768,0.007242063492063492,19.902363231844795,0.9951056331137444,0.9951056331137444,73.0,73.0
2717,0.15352529966199768,0.007341269841269841,19.90207874512869,0.9950903647380646,0.9950903647380646,74.0,74.0
2718,0.1157641877397035,0.0023809523809523807,19.977892057296796,0.9988719013412961,0.9988719013412961,24.0,24.0
2719,0.1157641877397035,0.003869047619047619,19.966572312011024,0.998307852011944,0.998307852011944,39.0,39.0
272,0.028210794977859804,0.09344444444444444,27.171304213627703,0.9056701432758354,0.9056701432758354,1682.0,1682.0
2720,0.07411851069288139,0.0061507936507936515,19.686680269551925,0.9843174267790155,0.9843174267790155,62.0,62.0
2721,0.07411851069288139,0.00496031746031746,19.735714227584033,0.9867678288447943,0.9867678288447943,50.0,50.0
2722,0.07433682896507161,0.006944444444444444,19.68723530078326,0.9843313937992845,0.9843313937992845,70.0,70.0
2723,0.07433682896507161,0.005952380952380953,19.73336842253849,0.9866356005935073,0.9866356005935073,60.0,60.0
2724,0.02911763735774998,0.008035714285714287,18.98963317350367,0.9494615169741129,0.9494615169741129,81.0,81.0
2725,0.02911763735774998,0.007341269841269841,19.103474243974826,0.9551518341441302,0.9551518341441302,74.0,74.0
2726,0.04899902255153283,0.008035714285714287,19.839506791015875,0.9919159653589087,0.9919159653589087,81.0,81.0
