person;activity_number;activity_id;activity_type;start_time;end_time;maximum_duration;link_id;facility_id;coord_x;coord_y
zone_1291;3;zone_1291_3;home;69669.0;;;363;;630608.8628306111;4802663.066007392
zone_12910;1;zone_12910_1;home;;31830.0;;395;;630466.3971810569;4801744.1729573235
zone_12910;2;zone_12910_2;work;32254.0;68247.0;;1903;;631361.0720094965;4803849.443634689
zone_12910;3;zone_12910_3;home;68583.0;;;395;;630466.3971810569;4801744.1729573235
zone_12911;1;zone_12911_1;home;;26310.0;;755;;634046.5593811399;4804809.976321165
zone_12911;2;zone_12911_2;work;33008.0;61659.0;;2718;;630139.4401644637;4803028.515530579
zone_12911;3;zone_12911_3;home;68357.0;;;755;;634046.5593811399;4804809.976321165
zone_12912;1;zone_12912_1;home;;32061.0;;2754;;631423.0319878319;4804629.119078821
zone_12912;2;zone_12912_2;work;35380.0;67048.0;;363;;630608.8628306111;4802663.066007392
zone_12912;3;zone_12912_3;home;70367.0;;;2754;;631423.0319878319;4804629.119078821
zone_12913;1;zone_12913_1;home;;52012.0;;859;;634733.3405061151;4803846.726781039
zone_12913;2;zone_12913_2;other;59462.0;59462.0;;315;;630058.9064276607;4804826.804914959
zone_12913;3;zone_12913_3;home;66912.0;;;859;;634733.3405061151;4803846.726781039
zone_12914;1;zone_12914_1;home;;27694.0;;1991;;633003.856677737;4803665.534529155
zone_12914;2;zone_12914_2;work;28211.0;60627.0;;1291;;634196.3879052324;4801871.029596893
zone_12914;3;zone_12914_3;home;61649.0;;;1991;;633003.856677737;4803665.534529155
zone_12915;1;zone_12915_1;home;;52175.0;;200;;632320.9167567801;4801890.492686475
zone_12915;2;zone_12915_2;other;52655.0;67406.0;;1746;;630997.4712897129;4803200.104809093
zone_12915;3;zone_12915_3;home;67989.0;;;200;;632320.9167567801;4801890.492686475
zone_12916;1;zone_12916_1;home;;37100.0;;309;;630057.487016212;4801992.566923062
zone_12916;2;zone_12916_2;other;52900.0;59797.0;;1401;;632274.3809666187;4804382.586793542
zone_12916;3;zone_12916_3;home;67164.0;;;309;;630057.487016212;4801992.566923062
zone_12917;1;zone_12917_1;home;;51364.0;;2133;;633223.0827961174;4804372.559319399
zone_12917;2;zone_12917_2;other;52011.0;52011.0;;1086;;632020.6973962819;4801130.713627308
zone_12917;3;zone_12917_3;home;57012.0;;;2133;;633223.0827961174;4804372.559319399
zone_12918;1;zone_12918_1;home;;51550.0;;1254;;636388.6401010551;4801896.6194677055
zone_12918;2;zone_12918_2;other;57651.0;67381.0;;3056;;631072.8953347747;4801843.866719274
zone_12918;3;zone_12918_3;home;73613.0;;;1254;;636388.6401010551;4801896.6194677055
zone_12919;1;zone_12919_1;home;;26685.0;;2642;;631362.626809166;4801505.731049007
zone_12919;2;zone_12919_2;work;31254.0;62220.0;;605;;635282.9862761305;4804744.489341701
zone_12919;3;zone_12919_3;home;66804.0;;;2642;;631362.626809166;4801505.731049007
zone_1292;1;zone_1292_1;home;;28527.0;;1395;;631333.4244101713;4803960.511673419
zone_1292;2;zone_1292_2;work;29872.0;63210.0;;1758;;630619.9870648012;4803475.6245865505
zone_1292;3;zone_1292_3;home;64555.0;;;1395;;631333.4244101713;4803960.511673419
zone_12920;1;zone_12920_1;home;;49875.0;;1401;;632274.3809666187;4804382.586793542
zone_12920;2;zone_12920_2;other;54902.0;54902.0;;218;;632305.0121772453;4801535.331581049
zone_12920;3;zone_12920_3;home;59989.0;;;1401;;632274.3809666187;4804382.586793542
zone_12921;1;zone_12921_1;home;;29793.0;;2700;;630617.1511457147;4801576.524765048
zone_12921;2;zone_12921_2;work;34001.0;62315.0;;1815;;631336.4364957041;4804176.438556725
zone_12921;3;zone_12921_3;home;66523.0;;;2700;;630617.1511457147;4801576.524765048
zone_12922;1;zone_12922_1;home;;29671.0;;2748;;632668.3781858163;4803782.159334039
zone_12922;2;zone_12922_2;work;36640.0;59117.0;;717;;638123.2489225944;4802985.867932502
zone_12922;3;zone_12922_3;home;72426.0;;;2748;;632668.3781858163;4803782.159334039
